Publication Place Text Value,Geonames URI,Label
Argyll  GB,http://sws.geonames.org/5886892,Argyll 
Baton Rouge  Louisiana,http://sws.geonames.org/4315588,Baton Rouge 
Bedford  MA,http://sws.geonames.org/2656046,Bedford 
Beijing  CN,http://sws.geonames.org/1816670,Beijing 
Berkeley  CA,http://sws.geonames.org/5327684,Berkeley 
Berkeley  California,http://sws.geonames.org/5327684,Berkeley 
Boston,http://sws.geonames.org/4931029,City of Boston
"Boston, MA.",http://sws.geonames.org/4931029,City of Boston
"Boston, Mass.",http://sws.geonames.org/4931029,City of Boston
Boulder  CO,http://sws.geonames.org/5574991,Boulder 
Cairo  EG,http://sws.geonames.org/360630,Cairo 
Cambridge,http://sws.geonames.org/4932004,City of Cambridge
"Cambridge, MA",http://sws.geonames.org/4932004,City of Cambridge
"Cambridge, MA.",http://sws.geonames.org/4932004,City of Cambridge
"Cambridge, Mass.",http://sws.geonames.org/4932004,City of Cambridge
"Cambridge, Massachusetts",http://sws.geonames.org/4932004,City of Cambridge
Cambridge  GB,http://sws.geonames.org/2192708,Cambridge 
Cambridge  MA,http://sws.geonames.org/2192708,Cambridge 
Charleston  S.C.,http://sws.geonames.org/4801859,Charleston 
Charleston  SC,http://sws.geonames.org/4801859,Charleston 
Copenhagen  DK,http://sws.geonames.org/2618425,Copenhagen 
Corinth  VT,http://sws.geonames.org/11351423,Corinth 
Eureka  California,http://sws.geonames.org/3559061,Eureka 
Fairfield  California,http://sws.geonames.org/11495195,Fairfield 
Fareham  GB,http://sws.geonames.org/2649692,Fareham 
Fondettes  FR,http://sws.geonames.org/3018124,Fondettes 
Glasgow  GB,http://sws.geonames.org/2648579,Glasgow 
Golden  CO,http://sws.geonames.org/5423294,Golden 
Herndon  VA,http://sws.geonames.org/4763793,Herndon 
Islamabad  PK,http://sws.geonames.org/1176615,Islamabad 
Kabul  AF,http://sws.geonames.org/1138958,Kabul 
Kabul  Kabul,http://sws.geonames.org/1138958,Kabul 
Kampala  UG,http://sws.geonames.org/232422,Kampala 
Laramie  WY,http://sws.geonames.org/5830062,Laramie 
Livingstone  ZM,http://sws.geonames.org/910111,Livingstone 
London  GB,http://sws.geonames.org/2643743,London 
Monterey  CA,http://sws.geonames.org/5374361,Monterey 
Monterey  California,http://sws.geonames.org/5374361,Monterey 
Moss Landing  California,http://sws.geonames.org/5375042,Moss Landing 
Nairobi  KE,http://sws.geonames.org/184745,Nairobi 
Nathan  AU,http://sws.geonames.org/9885830,Nathan 
New Delhi  IN,http://sws.geonames.org/1261481,New Delhi 
Oakland  US,http://sws.geonames.org/5378538,Oakland 
Paris  FR,http://sws.geonames.org/2988507,Paris 
Portsmouth  GB,http://sws.geonames.org/3575654,Portsmouth 
"Redlands, CA",http://sws.geonames.org/5386754,Redlands
"Redlands, Calif.",http://sws.geonames.org/5386754,Redlands
"Redlands, California",http://sws.geonames.org/5386754,Redlands
"Redlands, California, USA",http://sws.geonames.org/5386754,Redlands
Redwood City  California,http://sws.geonames.org/5386834,Redwood City 
"Reston, Va.",http://sws.geonames.org/4781530,Reston
"Reston, Virginia",http://sws.geonames.org/4781530,Reston
"Reston, Virginia, USA",http://sws.geonames.org/4781530,Reston
Rio de Janeiro  BR,http://sws.geonames.org/3451190,Rio de Janeiro 
Rome  IT,http://sws.geonames.org/3169070,Rome 
Sacramento  CA,http://sws.geonames.org/5389489,Sacramento 
Sacramento  California,http://sws.geonames.org/5389489,Sacramento 
Sacramento  US,http://sws.geonames.org/5389489,Sacramento 
San Francisco  California,http://sws.geonames.org/3621911,San Francisco 
San Jose  California,http://sws.geonames.org/7267949,San Jose 
Santa Cruz  California,http://sws.geonames.org/3904906,Santa Cruz 
Seaside  California,http://sws.geonames.org/5137529,Seaside 
South Kingstown  RI,http://sws.geonames.org/8436572,South Kingstown 
Springfield  Virginia,http://sws.geonames.org/4250542,Springfield 
Stanford  CA,http://sws.geonames.org/5398563,Stanford 
Stanford  California,http://sws.geonames.org/5398563,Stanford 
Stockton  California,http://sws.geonames.org/5399020,Stockton 
"Washington, D.C.  US",http://sws.geonames.org/4138106,"Washington, D.C. "
Washington  D.C.,http://sws.geonames.org/4140963,Washington 
Washington  DC,http://sws.geonames.org/4140963,Washington 
Washington  District of Columbia,http://sws.geonames.org/4140963,Washington 
Woods Hole  MA,http://sws.geonames.org/4956152,Woods Hole 
